Id,Model,Price,Age_06_15,Mfg_Month,Mfg_Year,KM,Fuel_Type,HP,Met_Color,Color,Automatic,cc,Doors,Cylinders,Gears,Quarterly_Tax,Weight,Mfr_Guarantee,BOVAG_Guarantee,Guarantee_Period,ABS,Airbag_1,Airbag_2,Airco,Automatic_airco,Boardcomputer,CD_Player,Central_Lock,Powered_Windows,Power_Steering,Radio,Mistlamps,Sport_Model,Backseat_Divider,Metallic_Rim,Radio_cassette,Tow_Bar,,,,,,,,,,,,,
28,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,15750,63,4,2010,41415,Petrol,110,1,Black,0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,,,,,,,,,,,,,
29,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,16950,62,5,2010,44142,Petrol,110,0,Grey,0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,,,,,,,,,,,,,
30,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,17950,64,3,2010,11090,Petrol,110,1,Blue,0,1600,3,4,5,85,1120,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,,,,,,,,,,,,,
31,ÿTOYOTA Corolla 1.4 VVTI Linea Terra 2/3-Doors,12950,63,4,2010,9750,Petrol,97,1,Silver,0,1400,3,4,5,19,1100,1,1,12,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,,,,,,,,,,,,,
32,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15750,56,11,2010,35199,Petrol,97,1,Blue,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,,,,,,,,,,,,,
33,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,61,6,2010,29510,Petrol,97,1,Black,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
34,ÿTOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,14950,60,7,2010,32692,Petrol,97,1,Grey,0,1400,3,4,5,85,1100,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
35,ÿTOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15500,56,11,2010,41000,Petrol,97,1,Grey,0,1400,3,4,5,85,1100,0,0,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
36,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15750,60,7,2010,43000,Petrol,97,0,Grey,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
37,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,59,8,2010,25000,Petrol,97,0,Grey,0,1400,3,4,5,85,1100,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
38,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA 2/3-Doors,14950,57,10,2010,10000,Petrol,97,1,Blue,0,1400,3,4,5,85,1100,1,1,3,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
39,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA 2/3-Doors,15750,66,1,2010,25329,Petrol,97,1,Green,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
40,ÿTOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,14750,61,6,2010,27500,Petrol,97,0,Blue,0,1400,3,4,5,85,1100,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
41,ÿTOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,13950,56,11,2010,49059,Petrol,97,0,Blue,0,1400,3,4,5,85,1100,0,1,3,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
42,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,16750,61,6,2010,44068,Petrol,97,1,Red,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
43,TOYOTA Corolla 1.4 16V VVT I 3DR 2/3-Doors,13950,56,11,2010,46961,Petrol,97,0,Blue,0,1400,3,4,5,85,1100,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
44,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,16950,61,6,2010,110404,Diesel,90,0,Red,0,2000,5,4,5,234,1255,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
45,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,16950,56,11,2010,100250,Diesel,90,0,Red,0,2000,5,4,5,234,1255,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
46,ÿTOYOTA Corolla 2.0 D4D 90 5DR SOL 4/5-Doors,19000,57,10,2010,84000,Diesel,90,0,Red,0,2000,5,4,5,234,1270,0,1,3,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,,,,,,,,,,,,,
47,TOYOTA Corolla 2.0 D4D 90 5DR TERRA 4/5-Doors,17950,61,6,2010,79375,Diesel,90,1,Grey,0,2000,5,4,5,234,1255,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
48,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15800,56,11,2010,75048,Petrol,97,1,Blue,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,,,,,,,,,,,,,
49,ÿTOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,17950,56,11,2010,72215,Diesel,90,1,Grey,0,2000,5,4,5,234,1255,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
50,TOYOTA Corolla 1.8 16V VVTLI 5DR T SPORT 4/5-Doors,21950,65,2,2010,64982,Petrol,192,1,Grey,0,1800,5,4,6,100,1195,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,,,,,,,,,,,,,
51,TOYOTA Corolla 2.0 D4D 90 5DR TERRA COMFORT 4/5-Doors,17950,56,11,2010,62636,Diesel,90,1,Grey,0,2000,5,4,5,234,1255,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
52,ÿTOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15750,64,3,2010,57086,Petrol,97,1,Grey,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,,,,,,,,,,,,,
53,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,20500,60,7,2010,56000,Petrol,110,1,Blue,1,1600,5,4,5,100,1180,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,,,,,,,,,,,,,
54,TOYOTA Corolla 1.8 VVTL-i T-Sport 4/5-Doors,21950,61,6,2010,49866,Petrol,192,1,Green,0,1800,5,4,5,100,1195,0,1,13,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,,,,,,,,,,,,,
55,ÿTOYOTA Corolla 1.6 16V VVT I 5DR TERRA AUT4 4/5-Doors,15500,59,8,2010,49163,Petrol,110,0,Green,1,1600,5,4,5,100,1165,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
56,ÿTOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13250,66,1,2010,45725,Petrol,110,1,Black,0,1600,5,4,5,85,1075,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,,,,,,,,,,,,,
57,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15250,62,5,2010,43210,Petrol,97,0,Grey,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
58,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,15250,60,7,2010,43000,Petrol,97,0,Grey,0,1400,5,4,5,85,1110,1,1,3,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
59,ÿTOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,18950,57,10,2010,39704,Petrol,110,1,Blue,1,1600,5,4,5,100,1180,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,,,,,,,,,,,,,
60,ÿTOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,15999,64,3,2010,38950,Petrol,110,1,Red,0,1600,5,4,5,85,1130,0,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,,,,,,,,,,,,,
61,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,14950,56,11,2010,37400,Petrol,97,1,Black,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
62,ÿTOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,16500,61,6,2010,37177,Petrol,110,0,Red,0,1600,5,4,5,85,1130,0,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,,,,,,,,,,,,,
63,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18750,65,2,2010,36544,Petrol,110,1,Blue,0,1600,5,4,5,85,1130,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,,,,,,,,,,,,,
64,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,17950,64,3,2010,33511,Petrol,110,1,Blue,0,1600,5,4,5,85,1130,1,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,,,,,,,,,,,,,
65,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,17950,61,6,2010,32809,Petrol,97,1,Black,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,,,,,,,,,,,,,
66,TOYOTA Corolla 1.6 VVT-I 5DR LINEA SOL 4/5-Doors,16950,60,7,2010,32181,Petrol,110,1,Blue,0,1600,5,4,5,19,1075,0,1,12,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,
67,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,62,5,2010,30993,Petrol,110,1,Black,0,1600,5,4,5,85,1130,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,,,,,,,,,,,,,
68,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,14950,56,11,2010,30400,Petrol,97,1,Grey,0,1400,5,4,5,85,1110,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
69,TOYOTA Corolla 2.0 D4D 110 5DR SOL 4/5-Doors,22250,56,11,2010,30000,Diesel,110,1,Grey,0,2000,5,4,5,234,1275,1,1,3,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
70,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15950,59,8,2010,29719,Petrol,97,1,Black,0,1400,5,4,5,85,1110,1,1,3,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
71,ÿTOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,15950,62,5,2010,29206,Petrol,97,1,Grey,0,1400,5,4,5,85,1110,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
72,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,12995,66,1,2010,29198,Petrol,97,1,Grey,0,1400,5,4,5,85,1060,1,1,3,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,,,,,,,,,,,,,
73,ÿTOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18950,62,5,2010,28817,Petrol,110,1,Grey,0,1598,5,4,5,85,1130,1,1,3,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,,,,,,,,,,,,,
74,ÿTOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors,15750,57,10,2010,28227,Petrol,97,1,Grey,0,1400,5,4,5,85,1110,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
75,ÿTOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,19950,62,5,2010,28000,Petrol,110,0,Black,0,1600,5,4,5,85,1130,1,0,3,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,,,,,,,,,,,,,
76,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16950,57,10,2010,28000,Petrol,110,1,Grey,0,1600,5,4,5,85,1115,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
77,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,18750,65,2,2010,25266,Petrol,110,1,Grey,0,1600,5,4,5,85,1130,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,,,,,,,,,,,,,
78,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,18450,61,6,2010,23489,Petrol,110,0,Silver,0,1600,5,4,5,85,1115,0,1,3,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
79,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,16895,63,4,2010,22575,Petrol,110,1,Grey,0,1600,5,4,5,85,1115,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
80,TOYOTA Corolla 1.4 16V VVT I 5DR TERRA 4/5-Doors,14900,64,3,2010,22000,Petrol,97,1,Grey,0,1400,5,4,5,85,1110,1,1,3,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
81,TOYOTA Corolla 1.6 5drs 1 4/5-Doors,18950,59,8,2010,20019,Petrol,110,1,Blue,1,16000,5,4,5,100,1180,0,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
82,TOYOTA Corolla 1.6 16V VVT I 5DR TERRA 4/5-Doors,17250,63,4,2010,20000,Petrol,110,1,Grey,0,1600,5,4,5,85,1115,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
83,ÿTOYOTA Corolla 1.4 16V VVT I 5DR 4/5-Doors,15450,59,8,2010,17003,Petrol,97,1,Grey,0,1400,5,4,5,85,1110,0,1,3,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
84,TOYOTA Corolla 1.6 16V VVT I 5DR SOL AUT4 4/5-Doors,17950,65,2,2010,16238,Petrol,110,1,Blue,1,1600,5,4,5,100,1180,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,,,,,,,,,,,,,
85,ÿTOYOTA Corolla 1.4 16V VVT I 5DR TERRA COMFORT 4/5-Doors,16650,59,8,2010,15414,Petrol,97,1,Grey,0,1400,5,4,5,85,1110,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
86,TOYOTA Corolla 1.6 16V VVT I 5DR SOL 4/5-Doors,17450,62,5,2010,8537,Petrol,110,1,Grey,0,1600,5,4,5,85,1130,0,1,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,,,,,,,,,,,,,
87,ÿTOYOTA Corolla 1.4 VVTI  (Nw type) 4/5-Doors,14900,64,3,2010,7000,Petrol,97,1,Silver,0,1400,5,4,5,85,1100,0,0,12,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,,,,,,,,,,,,,
88,TOYOTA Corolla 2.0 D4D 90 3DR TERRA COMF BNS 2/3-Doors,17950,54,1,2011,66966,Diesel,90,1,Blue,0,2000,3,4,5,210,1245,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
89,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,53,2,2011,51884,Petrol,97,1,Grey,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
90,TOYOTA Corolla 2.0 D4D 110 3DR SOL 2/3-Doors,21950,53,2,2011,50005,Diesel,110,1,Grey,0,2000,3,4,5,234,1265,1,1,3,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
91,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,16450,54,1,2011,48110,Petrol,97,1,Black,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
92,ÿTOYOTA Corolla 2.0 D4D 90 3DR SOL BNS 2/3-Doors,22250,54,1,2011,37500,Diesel,90,1,Black,0,2000,3,4,5,234,1260,0,1,3,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
93,TOYOTA Corolla 2.0 D 4D Linea Sol 3 Doors 2/3-Doors,19950,50,5,2011,34472,Diesel,90,1,Grey,0,1995,3,4,5,234,1260,0,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,,,,,,,,,,,,,
94,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,54,1,2011,33329,Petrol,97,1,Grey,0,1400,3,4,5,85,1100,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
95,TOYOTA Corolla 1.6 16v VVT-i Linea Sol 2/3-Doors,18900,54,1,2011,31850,Petrol,110,0,Black,0,1600,3,4,5,85,1120,0,1,20,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,,,,,,,,,,,,,
96,TOYOTA Corolla 2.0 D4D Linea Sol 3 Doors 2/3-Doors,19950,51,4,2011,30351,Diesel,90,1,Blue,0,1995,3,4,5,234,1260,0,0,3,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
97,ÿTOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,53,2,2011,29435,Petrol,97,1,Black,0,1400,3,4,5,85,1100,0,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
98,TOYOTA Corolla 1.4 16V VVT I 3DR TERRA COMFORT 2/3-Doors,15950,53,2,2011,25948,Petrol,97,1,Blue,0,1400,3,4,5,85,1100,1,1,3,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,,,,,,,,,,,,,
99,TOYOTA Corolla 1.6 16V VVT I 3DR SOL 2/3-Doors,18750,45,10,2011,24500,Petrol,110,1,Blue,0,1600,3,4,5,85,1120,0,0,3,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,,,,,,,,,,,,,
