"age","exp","inc","family","edu","mortgage","ccAvg","securities","cd","online","cc","infoReq","loan"
42,18,115,"1","1",0,45.79097434,"0","0","0","0","Ph","0"
53,29.5348579797688,69,"4","4",0,13.06020643,"0","0","1","0","Ph","0"
44,20,130,"1","1",0,66.07130132,"0","0","0","1","Email","0"
41,16.086833960722,94.8463367058837,"1","1",0,51.84703587,"0","0","1","1","Email","0"
33.7286653282376,3,135,"2","2",0,42.84965774,"0","0","0","1","Ph","0"
31,7,135,"4","4",0,50.12115903,"0","1","1","1","Email","1"
58,32,12,"3","3",0,4.027507335,"0","0","0","0","Email","0"
46,20,29,"3","3",0,6.045397388,"0","0","0","0","Ph","0"
54,30,133,"2","2",0,32.70240027,"0","0","0","0","Ph","1"
50,26,19,"2","2",118,5.05348949,"0","0","1","0","Email","0"
60,36,41,"4","4",174,16.10179227,"0","0","1","1","Email","0"
47,22,40,"3","3",0,34.94186361,"0","0","1","0","Email","0"
41,16,82,"1","1",0,53.22787316,"0","0","1","0","Ph","0"
33,9,50,"1","1",0,31.42166336,"0","0","0","0","Email","0"
46,22,18,"1","1",0,12.02238902,"0","0","1","0","Email","0"
27,3.44018098857012,109,"4","4",0,23.83905675,"0","0","0","0","Email","0"
40,16,42,"4","4",126,28.2178392,"0","0","0","0","Email","0"
48,22,78,"1","1",0,13.82245532,"0","0","1","0","Email","0"
65,41,51,"2","2",0,13.90034344,"0","0","1","0","Ph","0"
25,-1,113,"4","4",0,29.05453169,"0","0","0","1","Email","0"
55,30,118,"4","4",37.8117445591901,72.34623432,"0","0","1","0","Ph","1"
35,10,29,"4","4",0,13.97434633,"0","0","1","0","Ph","0"
43,19,34,"3","3",0,6.932559866,"0","0","0","0","Email","0"
60,34,72.1682092819963,"4","4",236,22.57527041,"1","0","1","0","Ph","0"
65,39,121,"1","1",0,26.48342222,"0","0","0","0","Email","0"
38,12,48,"4","4",0,3.025301971,"0","0","1","0","Ph","0"
41,16.9188672569775,80,"1","1",0,68.01145611,"0","0","0","0","Email","0"
54,28,161,"1","1",0,37.7296497,"0","0","1","0","Ph","0"
49,23,94,"1","1",0,3.96955168,"0","0","1","0","Email","0"
66,41,15,"3","3",0,2.00207827,"0","0","1","0","Email","0"
48,23,74,"1","1",0,14.93221728,"0","0","1","0","Email","0"
61,36,30,"3","3",0,15.96736308,"0","0","0","0","Ph","0"
53,23,67.9030798454052,"3","3",198,13.0936245,"0","0","1","1","Email","0"
43,17.0728403483546,22,"2","2",0,3.953015125,"0","0","1","0","Ph","0"
56,32,38,"4","4",166,16.15917796,"0","0","1","1","Email","0"
24,0,35,"3","3",0,2.030520938,"1","0","1","0","Ph","0"
43,17,71.7372469100204,"4","4",0,38.11089967,"0","0","1","1","Email","0"
42,18,43,"1","1",136,8.934182512,"0","0","0","0","Ph","0"
33,7,32,"1","1",166,6.963407511,"0","0","1","0","Email","0"
43,17,49,"1","1",0,36.24172368,"0","0","1","0","Email","0"
41,14,9,"3","3",0,12.91592029,"0","0","0","0","Email","0"
62,38,45,"4","4",0,16.04324873,"0","0","1","0","Email","0"
40,15,82,"3","3",309,12.91492016,"0","0","0","0","Email","0"
58,34,92,"2","2",103,37.14424317,"0","0","0","0","Email","0"
39,14,39,"3","3",0,5.987055189,"0","0","1","0","Ph","0"
65,40,81,"3","3",0,24.06123418,"0","0","1","0","Email","0"
54,29,35,"1","1",0,19.20924295,"0","0","1","0","Ph","0"
56.3757776952813,33,61,"2","2",46.8799748117385,29.12558224,"0","0","1","0","Email","0"
41,16,73,"3","3",0,39.25597917,"0","0","1","0","Email","0"
32,7,112,"1","1",366,60.33301611,"0","0","0","0","Email","0"
54,31.3368741356931,12,"2","2",0,3.003313758,"0","0","1","0","Email","0"
52,26,38,"3","3",0,11.9849477,"0","0","1","0","Email","0"
58,32,73,"2","2",0,9.031533931,"0","0","1","1","Email","0"
37,13,84,"1","1",0,46.85316714,"1","0","0","0","Email","0"
39,15,63.1977374858879,"4","4",118,31.31007899,"0","0","1","0","Email","0"
60,35,80,"3","3",0,6.045527244,"0","0","1","0","Email","0"
31,5,115,"2","2",101,15.80038776,"0","0","1","1","Email","0"
34,8,82,"1","1",251,34.95828513,"0","0","1","0","Ph","0"
38,14,74,"2","2",0,0.991216723,"1","0","1","0","Email","0"
41,16,70,"3","3",0,6.023860383,"0","0","0","1","Email","0"
28,4,81,"3","3",276,18.75945258,"0","0","1","0","Ph","0"
58,34,149,"4","4",0,91.42286285,"0","1","1","1","Ph","1"
31,1,51,"2","2",0,23.1325741,"0","0","0","0","Email","0"
30,4,39,"3","3",0,14.12789003,"0","0","1","0","Ph","0"
53,29,98,"3","3",0,24.63232765,"0","0","0","0","Ph","0"
58,33,45,"3","3",0,27.06163307,"0","0","1","1","Email","0"
59,32,49,"4","4",0,32.58966774,"0","0","1","0","Ph","0"
49,25,128,"2","2",0,5.091929899,"0","0","0","0","Email","0"
59,34,42,"3","3",0,18.83986579,"1","1","0","1","Email","0"
59,35,18,"1","1",0,15.14941335,"0","0","1","0","Email","0"
51,25,31,"2","2",161,4.970171949,"0","0","1","1","Email","0"
40.9383205214284,11,63.8226637124311,"3","3",149,25.74830691,"0","0","1","1","Email","0"
33,9,48,"1","1",0,27.52405122,"0","0","0","1","Email","0"
25,3.86695110159208,54,"4","4",0,20.11959147,"0","0","1","1","Email","0"
49,23,70,"2","2",0,19.39432468,"0","0","0","0","Email","0"
59,35,124,"1","1",0,92.89385959,"0","0","0","1","Email","0"
46,19,84,"1","1",83.4006068544984,34.18167569,"0","0","1","1","Ph","0"
50,25,83,"4","4",188,46.54988991,"0","0","1","0","Email","0"
52,28,163,"2","2",116,4.985218094,"0","0","1","0","Email","0"
47.088062551262,22,42,"3","3",0,28.19450035,"0","0","0","0","Ph","0"
46,22,118,"2","2",0,93.4410794,"0","1","1","0","Email","0"
26,0,132,"3","3",0,83.77924918,"0","0","0","1","Ph","1"
57,32,24,"1","1",0,16.19303222,"0","0","1","1","Email","0"
60,36,49.1975239485543,"2","2",0,13.0696844,"1","1","1","1","Email","0"
54,29,58,"4","4",0,16.06393124,"0","0","0","0","Email","0"
24,0,60,"4","4",0,20.16753276,"0","0","1","0","Email","0"
26,0,15,"4","4",0,5.006790804,"0","0","0","1","Ph","0"
43.91426439731,17,64.5056572457221,"4","4",0,34.02618097,"0","0","1","1","Email","0"
32,6,79,"2","2",0,18.90061471,"0","0","1","1","Ph","0"
61,35,41,"4","4",0,22.24727383,"1","0","1","0","Email","0"
29,0,134,"4","4",0,85.44070755,"0","0","0","0","Email","1"
61,35,80,"2","2",0,37.29838774,"0","0","1","0","Email","0"
38,12,52,"1","1",0,26.19837078,"0","0","0","0","Ph","0"
28,4,70,"4","4",0,32.81721075,"0","0","1","0","Email","0"
53,27,92,"2","2",0,13.90541238,"1","0","0","0","Email","0"
27,1,43,"1","1",0,19.11369437,"0","0","1","0","Ph","0"
25,1,21,"3","3",0,13.07766773,"0","0","0","0","Email","0"
33,9,23,"3","3",0,12.14798473,"0","0","1","1","Email","0"
50,24.23253184451,13,"4","4",0,12.89701869,"0","0","1","0","Ph","0"
27,1,112,"4","4",0,26.85847597,"0","0","0","1","Email","0"
27,1,138,"2","2",0,25.98511014,"0","0","1","0","Ph","0"
52,28,11,"3","3",0,4.937204712,"1","0","0","0","Email","0"
38,13,171,"2","2",0,94.19277334,"0","0","1","0","Ph","0"
58,34,42,"4","4",0,18.64214186,"0","0","1","1","Email","0"
42,17,168,"2","2",0,98.62915484,"0","0","1","0","Ph","1"
45,20,85,"4","4",0,14.15147297,"1","0","1","0","Email","0"
52,25,44,"3","3",135,13.0662058,"0","0","1","0","Email","0"
29,3,65,"4","4",244,23.79273873,"0","0","0","0","Email","0"
53,29,24,"4","4",0,3.010373879,"0","0","1","1","Ph","0"
62,33.1001872855888,11,"1","1",0,2.008159206,"0","0","1","0","Ph","0"
51,27,38,"3","3",164,12.97294099,"0","0","1","0","Email","0"
36,12,10,"4","4",81,9.012701627,"0","0","0","0","Email","0"
24,0,135,"1","1",0,18.99645732,"0","0","1","0","Email","0"
29,3,148,"3","3",0,52.87806793,"0","0","1","0","Ph","1"
52,26,63,"2","2",0,19.08634783,"1","0","1","0","Email","0"
39,14,115,"1","1",0,13.15353214,"0","0","1","0","Email","0"
48,24.1275988206791,45,"1","1",0,3.914018954,"0","0","1","1","Email","0"
46,21,159,"3","3",315,24.57019713,"0","0","1","0","Ph","1"
64,40,169,"2","2",18.4010453698362,27.05197594,"0","0","1","0","Email","0"
55,29,112,"2","2",0,18.10458967,"0","0","1","0","Ph","0"
60,36,93,"1","1",0,55.39346078,"0","0","1","0","Email","0"
51,25,29,"1","1",140,4.00229512,"0","0","0","0","Email","0"
50,23,85,"1","1",0,33.68671227,"0","0","1","0","Email","0"
48,24,21,"4","4",0,6.928712011,"0","0","1","1","Email","0"
53,29,144,"2","2",0,88.12840405,"0","0","1","0","Email","0"
34,10,13,"4","4",95,13.02237312,"1","0","1","0","Email","0"
48,24,165,"1","1",0,66.05019974,"0","0","0","1","Email","0"
55,31,9,"4","4",89,8.90476592,"0","0","1","0","Email","0"
27,3,59,"4","4",90,0.99728816,"1","0","1","0","Email","0"
36,14.6869671974141,158,"1","1",0,67.34230856,"0","1","1","1","Ph","1"
32,6,29,"1","1",0,25.13372452,"0","0","1","1","Email","0"
35,9,66.0085205688748,"2","2",0,18.15643112,"0","0","1","1","Ph","0"
30,4.54153463621502,68,"4","4",0,25.74437669,"0","0","1","0","Email","0"
59.0084653367749,34,65,"4","4",0,27.64919722,"0","0","1","0","Email","0"
56,31,61,"2","2",105,25.03154518,"0","0","0","0","Email","0"
38,12,91,"4","4",28.0562269395262,18.03150213,"0","0","0","1","Email","0"
49,25,31,"1","1",0,13.08707885,"1","0","1","0","Email","0"
34,10,71,"4","4",0,2.002277455,"0","0","0","0","Email","0"
40,16,96.7844503026464,"4","4",0,34.08038383,"0","0","1","1","Ph","0"
64,39,172,"4","4",282,40.68992886,"0","1","1","1","Email","1"
51,26,20,"2","2",0,1.012897832,"0","0","0","0","Email","0"
44,18,55,"1","1",0,2.95255428,"0","0","0","0","Email","0"
46,22,69,"2","2",209,22.08104847,"0","0","0","0","Email","0"
57,33,155,"1","1",0,92.50783227,"0","0","1","0","Ph","0"
54,28,94,"1","1",0,25.18337605,"0","0","0","0","Email","0"
38,14,92,"2","2",249,0.99184543,"0","0","1","1","Email","0"
27,3,125,"2","2",0,6.898258495,"0","0","0","0","Email","0"
39,14,74,"3","3",0,38.67847833,"0","0","0","0","Ph","0"
44.5273156028024,20,72,"3","3",0,3.91379112,"0","0","1","0","Email","0"
56,30,61,"1","1",0,27.67013241,"0","0","1","1","Email","0"
32,6,25,"2","2",0,3.961139465,"0","0","0","1","Email","0"
45,19,83,"2","2",30.0038348543251,21.69774923,"0","0","1","0","Email","0"
26,2,53.5729359610059,"3","3",0,32.20979391,"0","0","0","0","Email","0"
55,25,41,"3","3",0,13.00918157,"0","0","1","0","Email","0"
52,27,58,"4","4",52.4001765913462,23.92155275,"0","0","0","0","Email","0"
39,13,93,"1","1",0,18.68488978,"0","0","0","1","Email","0"
24,-1,39,"2","2",0,21.83881537,"0","0","0","0","Email","0"
47,23,148,"2","2",0,93.64540285,"0","1","1","1","Email","0"
47,22,53,"4","4",98,25.38705535,"1","1","0","1","Ph","0"
48,24,71,"2","2",114.01679543278,21.76115126,"0","0","0","1","Email","0"
47,22,92,"1","1",0,37.41168357,"0","0","1","0","Email","0"
35,10,61,"4","4",0,26.98968614,"0","0","1","0","Email","0"
46,19,38,"3","3",135,31.59756126,"0","0","0","0","Email","0"
62,37,58,"4","4",0,21.79980414,"0","0","1","0","Email","0"
26,1,80,"1","1",150,10.97203794,"0","0","0","0","Email","0"
38,8,71,"4","4",0,24.06497292,"0","0","1","0","Email","0"
43,18,89,"3","3",102.345343079661,6.01289719,"0","0","1","1","Email","0"
62,38,83,"1","1",0,24.44640579,"0","0","1","0","Ph","0"
57,32,28,"3","3",0,3.019783099,"0","0","1","1","Ph","0"
28,3,52,"4","4",0,21.62972383,"0","0","0","0","Ph","0"
51,26,70,"1","1",169,15.02832747,"0","0","0","0","Email","0"
48,22,71,"1","1",0,17.8558555,"0","0","0","1","Email","0"
41,16,75,"1","1",280,48.66124634,"0","0","0","0","Email","0"
65,33.676514798942,170,"3","3",99,97.6064385,"0","1","1","0","Ph","1"
41,17,78,"4","4",78,11.02025903,"0","0","1","0","Email","0"
35,11,25,"2","2",0,13.01905643,"0","0","0","0","Email","0"
38,14,60,"2","2",0,7.117132013,"0","0","1","1","Email","0"
53,29,120,"4","4",111,35.23926924,"1","1","1","0","Ph","1"
55,29,99,"2","2",264,17.92608439,"0","0","1","1","Email","0"
26,1,55,"3","3",113,33.04119261,"0","0","0","1","Email","0"
31.8437021758211,6,29,"3","3",117,12.90338459,"0","0","0","0","Email","0"
54,28,170,"2","2",68.7972188483657,79.9571399,"0","0","1","0","Ph","1"
65,40,53,"3","3",0,28.20821539,"0","0","0","1","Ph","0"
47,21,138,"1","1",0,1.002715492,"0","0","0","0","Ph","0"
65,41,134,"3","3",121,50.38532899,"0","0","1","0","Ph","1"
66,40,42,"2","2",138,9.001233347,"0","0","0","1","Email","0"
26,0,99,"4","4",0,28.99371341,"0","0","0","1","Email","0"
66,41,18,"3","3",0,5.980211478,"0","0","0","1","Email","0"
35,9,24,"4","4",0,4.009573837,"0","0","1","0","Email","0"
56,30,55,"1","1",77,18.0883514,"0","0","1","0","Ph","0"
51,27,58,"1","1",0,1.007109185,"0","0","0","0","Email","0"
42,16,111,"2","2",251,15.22651139,"0","0","1","0","Ph","1"
49,23,33,"1","1",0,3.981360205,"0","1","1","1","Email","0"
27,1,74,"4","4",112,24.01104084,"0","0","1","1","Email","0"
45,19,38,"2","2",0,9.018379922,"0","0","0","0","Email","0"
49,23,23,"4","4",98,7.078371965,"1","0","0","0","Email","0"
63,38,61,"2","2",0,18.9688086,"0","0","1","0","Email","0"
47,22,68.7495578612186,"1","1",138,37.67398197,"0","0","0","0","Ph","0"
64,39,129,"1","1",0,31.93118782,"0","0","1","0","Email","0"
43,13,33,"1","1",0,9.91582128,"0","0","0","0","Email","0"
60,36,63,"4","4",0,27.79170104,"0","0","1","0","Email","0"
40,14,70,"4","4",0,17.71554517,"0","0","1","1","Ph","0"
29,3,45,"4","4",158,2.967635455,"0","0","1","1","Email","0"
41,16,65,"3","3",0,6.033266896,"0","0","1","0","Ph","0"
30,5,74,"4","4",72.0200688879697,27.66026492,"1","0","0","1","Email","0"
49,24.9269118373027,50,"4","4",0,24.23291766,"1","0","0","0","Ph","0"
30,6.28428810158694,22,"4","4",109,5.930204168,"0","0","1","0","Email","0"
29,2,30,"4","4",0,12.94752925,"0","0","0","0","Email","0"
50,26,21,"4","4",0,13.15361702,"0","0","1","0","Email","0"
39,14,155,"2","2",70.6997916135241,50.69353647,"0","0","1","0","Email","0"
33,8,64,"4","4",164,27.17395479,"0","0","1","0","Email","0"
57,31,65,"4","4",0,32.92592134,"0","0","0","1","Email","0"
34,9,71,"4","4",0,9.078302569,"0","0","1","0","Ph","0"
61,36,40,"3","3",0,6.021467262,"1","0","1","0","Email","0"
44,19,69,"3","3",0,6.011156603,"0","0","1","0","Email","0"
40,13,69,"4","4",0,30.0817146,"0","0","0","0","Email","0"
51,25,45,"3","3",131,7.053801559,"0","0","1","0","Ph","0"
37,12,62,"3","3",0,9.032503114,"0","0","0","1","Email","0"
44,19,135.70400692959,"2","2",391,55.90273159,"1","1","1","0","Ph","1"
42,15,24,"3","3",0,13.20592172,"0","0","1","1","Ph","0"
51,25,80,"1","1",0,64.31021037,"0","0","0","0","Ph","0"
43,16,8,"3","3",88,7.997425558,"0","0","1","0","Email","0"
30,5,38,"4","4",129,10.97536597,"0","0","1","1","Ph","0"
45,19,93,"4","4",0,33.08443326,"0","0","0","0","Email","0"
35,9,55,"1","1",0,26.08211777,"0","0","1","0","Email","0"
60,34,64,"2","2",0,21.96642188,"0","0","0","1","Email","0"
34,9,122,"1","1",0,1.007852078,"0","0","1","0","Email","0"
55,25,70,"3","3",0,18.00176085,"0","0","1","0","Email","0"
43,19,81,"2","2",0,41.66515397,"0","0","0","0","Email","0"
41,15,159,"1","1",0,71.33014282,"0","1","1","0","Email","1"
34,9,70,"3","3",0,15.99507363,"1","0","0","0","Email","0"
65,29.3363683426489,150,"2","2",196,89.06783311,"0","0","0","0","Email","0"
45,21,152,"2","2",0,95.24364163,"0","0","1","0","Email","0"
49,25,195,"4","4",617,38.96061874,"0","0","0","0","Ph","1"
48,23,22,"1","1",0,1.993212567,"0","0","0","0","Ph","0"
60,35,22,"1","1",123,16.12337122,"0","0","1","0","Ph","0"
55,29,79,"2","2",0,11.08201748,"0","0","1","1","Email","0"
42,18,33,"1","1",0,17.97299786,"0","0","1","0","Email","0"
36.6197700037451,8,128,"2","2",0,57.5606161,"0","1","1","1","Email","0"
59.0266522045738,38,91,"1","1",37.1388520316925,50.29489981,"1","0","1","0","Email","0"
57,32,39,"4","4",0,12.00815978,"0","0","1","1","Email","0"
52,26,121,"1","1",167,92.34961746,"0","0","1","0","Email","0"
36,6,21,"1","1",0,8.005700851,"1","0","1","0","Email","0"
34,9,41,"3","3",0,29.31451569,"0","0","0","1","Ph","0"
63,37,45,"2","2",0,8.961813608,"0","0","1","0","Email","0"
24,-2,51,"3","3",0,3.946915836,"0","0","1","0","Ph","0"
57,31,165,"1","1",0,19.84622414,"0","0","1","0","Ph","1"
40,16,119,"2","2",0,52.98020565,"0","0","1","0","Ph","1"
27,2,110,"4","4",190,23.57084156,"0","0","1","0","Email","0"
65,39,20,"3","3",0,8.913236837,"0","0","0","1","Email","0"
60,34,64,"1","1",248,10.92955622,"0","0","0","0","Email","0"
44,20,101,"3","3",82,58.91440362,"0","0","0","0","Ph","1"
63,39,101,"2","2",0,51.81708473,"1","1","1","0","Ph","1"
59,34,99,"1","1",0,58.01182954,"0","0","0","0","Ph","1"
56,30,158,"4","4",0,77.72634973,"0","0","0","0","Ph","1"
54,28,89,"1","1",0,24.94207926,"0","0","1","0","Ph","0"
52,27,80,"1","1",0,15.95615568,"0","1","1","1","Email","0"
58,32,114,"2","2",77.0798077220473,25.84340853,"0","0","1","0","Email","0"
60,35,49,"3","3",0,6.036465007,"0","0","1","1","Email","0"
28,4,191,"1","1",0,83.31316595,"0","0","1","0","Email","0"
54,30,78,"4","4",0,13.02283277,"0","0","1","0","Email","0"
32,6,49.6768694257393,"3","3",0,12.95476215,"0","0","0","0","Email","0"
59,33,42,"1","1",0,11.10884191,"0","0","1","0","Ph","0"
63,38,140,"1","1",0,31.86954091,"0","0","0","0","Email","0"
48,23,45,"1","1",0,16.05379075,"0","0","1","0","Email","0"
56,32,122,"2","2",360,4.007629835,"0","1","0","1","Email","0"
36,12,65,"3","3",0,32.93396007,"0","0","1","0","Ph","0"
57,27,68,"1","1",0,18.15939352,"0","0","1","0","Email","0"
29,7.90309909480405,153,"2","2",392,25.83737998,"0","0","0","0","Ph","0"
39,13,89,"4","4",0,17.99876598,"0","0","0","0","Email","0"
59,34,91,"1","1",0,33.02473549,"0","0","1","1","Email","0"
31,6,55,"4","4",185,25.99563309,"0","0","1","0","Ph","0"
43,19,118,"2","2",0,43.11571642,"0","0","0","1","Email","0"
35,5,22,"1","1",103,7.997983365,"0","0","0","0","Email","0"
54,24,63,"3","3",138,17.89454044,"0","0","1","1","Email","0"
51,27,12,"4","4",78,5.989124709,"1","0","1","0","Email","0"
44,19,50,"3","3",0,34.9656018,"0","0","1","0","Email","0"
25,0,43,"3","3",0,20.08045269,"1","0","1","1","Email","0"
40,15,173,"4","4",0,86.19950738,"0","1","1","1","Email","1"
26,2,60,"2","2",132,39.56181038,"0","0","0","0","Ph","1"
39,14,113,"1","1",0,13.02536029,"1","0","1","0","Ph","0"
28,4,155,"4","4",0,68.47612604,"0","0","1","0","Email","1"
52,28,91,"4","4",0,13.07950112,"0","0","0","1","Email","0"
53,29,55,"4","4",0,13.89849728,"0","0","1","0","Email","0"
44,20,173,"2","2",419,18.1048857,"0","0","1","0","Email","0"
43,19,71,"3","3",0,3.977314708,"0","0","0","1","Email","0"
56,30,35.4826525007397,"2","2",83.2763819796334,5.026967939,"0","0","0","0","Email","0"
38,14,42,"1","1",81,25.92153011,"0","0","1","0","Ph","0"
30,6,141,"2","2",0,57.40892042,"0","0","1","0","Ph","0"
32,6,32,"1","1",0,24.90561902,"0","0","1","0","Ph","0"
35,10,55,"4","4",0,16.02923193,"0","0","0","0","Ph","0"
43,20.1981280086323,153,"2","2",0,94.33997761,"0","0","1","0","Email","0"
58,32,113,"2","2",270,17.92357247,"0","0","0","1","Email","0"
25,0,30,"2","2",0,21.83326975,"0","0","0","0","Email","0"
54,24,29,"3","3",148,13.15512417,"0","0","0","1","Email","0"
57,32,174,"1","1",466,87.12534575,"0","0","1","0","Email","1"
50,24,35,"1","1",0,3.951537445,"0","0","1","0","Ph","0"
32,8,98,"2","2",175,26.22344326,"0","0","1","0","Ph","0"
63,37,30,"2","2",159,12.97935666,"0","0","1","0","Email","0"
31,5.5273217861131,58,"2","2",0,32.35734618,"0","0","0","0","Email","0"
35.9790087797952,12,25,"4","4",147,12.80078403,"0","0","1","0","Ph","0"
58,34,19,"4","4",0,9.01827888,"0","0","0","0","Email","0"
56,30,44,"4","4",174,8.871101249,"0","0","1","0","Ph","0"
49,25,20,"1","1",111,12.87974251,"0","0","0","1","Email","0"
30,5,98,"2","2",220,40.85300635,"0","0","1","0","Email","0"
33,7,90,"3","3",0,19.99658168,"0","0","1","0","Email","0"
46.5326563379138,21,61,"3","3",0,8.919888074,"0","0","0","0","Email","0"
30,5,40,"4","4",0,25.91103059,"0","0","1","0","Email","0"
47,23,38,"2","2",0,26.97388168,"0","0","0","0","Email","0"
25,0,28,"2","2",0,22.18687942,"0","0","0","0","Ph","0"
63,33,34,"1","1",0,19.3362289,"0","0","1","1","Email","0"
55,29,73,"2","2",0,28.79892236,"0","0","1","1","Email","0"
65,41,133,"4","4",0,26.36757927,"0","0","0","1","Ph","1"
44,18,53,"1","1",0,3.02031361,"0","0","1","0","Email","0"
51,26.0731703227613,21,"4","4",0,7.071278485,"0","0","1","1","Ph","0"
35,9,40,"3","3",0,12.0147958,"0","0","1","0","Ph","0"
30,5,41,"4","4",0,21.92608656,"0","0","1","0","Ph","0"
31,5,82,"4","4",0,24.15236913,"0","0","1","0","Email","0"
54,30,146.415572089725,"4","4",0,45.02135326,"0","0","0","0","Ph","1"
45,20,155,"1","1",0,91.05393255,"0","0","1","1","Email","0"
45,19.1329788466091,45,"1","1",0,2.974960346,"0","0","1","0","Email","0"
